Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,United Kingdom,Aberdeen,Scotland,GB7GD  C,GB7GD  G,145.687500,DUP-,0.600000,DV,,,YES,Approximate,57.190000,-2.100000,0:00
1,United Kingdom,Accrington,England,GB3PF,,433.300000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,53.750000,-2.370000,0:00
1,United Kingdom,Accrington,England,GB3RF,,145.775000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,53.750000,-2.370000,0:00
1,United Kingdom,Accrington,England,GB3RF  C,GB3RF  G,145.775000,DUP-,0.600000,DV,,,YES,Approximate,53.750000,-2.370000,0:00
1,United Kingdom,Airdrie,Scotland,GB7DA  C,GB7DA  G,145.775000,DUP-,0.600000,DV,,,YES,Approximate,55.890000,-3.990000,0:00
1,United Kingdom,Airdrie,Scotland,GB7GG  B,GB7GG  G,439.625000,DUP-,9.000000,DV,,,YES,Approximate,55.890000,-3.990000,0:00
1,United Kingdom,Alford,England,GB7JM  B,GB7JM  G,439.587500,DUP-,9.000000,DV,,,YES,Approximate,53.340000,0.150000,0:00
1,United Kingdom,Alfreton,England,GB3IN,,145.637500,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,53.130000,-1.470000,0:00
1,United Kingdom,Alfreton,England,GB3IN  C,GB3IN  G,145.637500,DUP-,0.600000,DV,,,YES,Approximate,53.130000,-1.470000,0:00
1,United Kingdom,Alton Hants,England,GB3SN,,145.725000,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,51.120000,-1.040000,0:00
1,United Kingdom,Amersham,England,GB3AL,,145.737500,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,51.650000,-0.620000,0:00
1,United Kingdom,Amersham,England,GB3AU,,433.175000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,51.650000,-0.620000,0:00
1,United Kingdom,Amersham,England,GB7AU  B,GB7AU  G,439.700000,DUP-,9.000000,DV,,,YES,Approximate,51.650000,-0.620000,0:00
1,United Kingdom,Amlwch,Wales &,GB3AN,,433.200000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,53.390000,-4.300000,0:00
1,United Kingdom,Asgarby,England,GB3FJ,,430.950000,DUP+,7.600000,FM,TONE,71.9Hz,YES,Approximate,53.180000,-0.010000,0:00
1,United Kingdom,Ashington,England,GB7NE  B,GB7NE  G,439.450000,DUP-,9.000000,DV,,,YES,Approximate,55.180000,-1.520000,0:00
1,United Kingdom,Ashton Under Lyn,England,GB3KU,,433.075000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,53.510000,-2.080000,0:00
1,United Kingdom,Ashton Under Lyn,England,GB3KU  B,GB3KU  G,433.075000,DUP+,1.600000,DV,,,YES,Approximate,53.510000,-2.080000,0:00
1,United Kingdom,Atherton,England,GB3MY,,433.275000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,53.530000,-2.500000,0:00
1,United Kingdom,Attlebourgh,England,GB7NM  C,GB7NM  G,145.737500,DUP-,0.600000,DV,,,YES,Approximate,52.520000,0.970000,0:00
1,United Kingdom,Axminster,England,GB3RH,,433.275000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,50.770000,-2.960000,0:00
1,United Kingdom,Aylesbury,England,GB3AV,,433.050000,DUP+,1.600000,FM,TONE,118.8Hz,YES,Approximate,51.810000,-0.810000,0:00
1,United Kingdom,Ballycastle,Northern,GB3KK,,430.975000,DUP+,7.600000,FM,TONE,110.9Hz,YES,Approximate,55.190000,-6.240000,0:00
1,United Kingdom,Ballycastle,Northern,GB3PK,,145.662500,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,55.190000,-6.240000,0:00
1,United Kingdom,Ballycastle,Northern,GB7KK  B,GB7KK  G,430.925000,DUP+,7.600000,DV,,,YES,Approximate,55.190000,-6.240000,0:00
1,United Kingdom,Banbury,England,GB3EH,,430.962500,DUP+,7.600000,FM,TONE,67.0Hz,YES,Approximate,52.110000,-1.480000,0:00
1,United Kingdom,Banchory,Scotland,GB3GN,,145.775000,DUP-,0.600000,FM,TONE,67.0Hz,YES,Approximate,57.020000,-2.360000,0:00
1,United Kingdom,Banff,Scotland,GB7BB  B,GB7BB  G,439.712500,DUP-,9.000000,DV,,,YES,Approximate,57.660000,-2.600000,0:00
1,United Kingdom,Barnsley,England,GB3NA,,145.612500,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,53.570000,-1.400000,0:00
1,United Kingdom,Barnsley,England,GB3NA  C,GB3NA  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,53.570000,-1.400000,0:00
1,United Kingdom,Barnsley,England,GB3SY,,433.150000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,53.600000,-1.700000,0:00
1,United Kingdom,Barnsley,England,GB7NA  B,GB7NA  G,439.450000,DUP-,9.000000,DV,,,YES,Approximate,53.570000,-1.400000,0:00
1,United Kingdom,Barnsley,England,GB7NA  C,GB7NA  G,145.675000,DUP-,0.600000,DV,,,YES,Approximate,53.570000,-1.400000,0:00
1,United Kingdom,Basingstoke,England,GB3BA,,433.325000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,51.200000,-1.100000,0:00
1,United Kingdom,Baston,England,GB3DP,,430.862500,DUP+,7.600000,FM,TONE,88.5Hz,YES,Approximate,52.720000,-0.350000,0:00
1,United Kingdom,Bath Avon,England,GB3UB,,433.100000,DUP+,1.600000,FM,TONE,118.8Hz,YES,Approximate,51.380000,-2.330000,0:00
1,United Kingdom,Beccles,England,GB7BE  B,GB7BE  G,439.662500,DUP-,9.000000,DV,,,YES,Approximate,52.440000,1.600000,0:00
1,United Kingdom,Bedford,England,GB3BF,,145.787500,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,52.100000,-0.500000,0:00
1,United Kingdom,Belfast,Northern,GB7RK  B,GB7RK  G,439.437500,DUP-,9.000000,DV,,,YES,Approximate,54.570000,-6.000000,0:00
1,United Kingdom,Belfast  N.I.,Northern,GB3NI,,145.725000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,54.620000,-5.820000,0:00
1,United Kingdom,Belfast  N.I.,Northern,GB3UL,,433.050000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,54.620000,-5.820000,0:00
1,United Kingdom,Berwick On Tweed,Scotland,GB3BT,,145.700000,DUP-,0.600000,FM,TONE,118.8Hz,YES,Approximate,55.820000,-2.080000,0:00
1,United Kingdom,Bessbrook,Northern,GB7NY  B,GB7NY  G,439.687500,DUP-,9.000000,DV,,,YES,Approximate,54.200000,-6.400000,0:00
1,United Kingdom,Bewdley,Wales &,GB7WF  B,GB7WF  G,439.487500,DUP-,9.000000,DV,,,YES,Approximate,52.400000,-2.300000,0:00
1,United Kingdom,Bigbury,England,GB3PL,,145.762500,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,50.310000,-3.880000,0:00
1,United Kingdom,Birmingham,England,GB3CB,,433.350000,DUP+,1.600000,FM,TONE,67.0Hz,YES,Approximate,52.460000,-1.890000,0:00
1,United Kingdom,Birmingham,England,GB7BM  B,GB7BM  G,439.400000,DUP-,9.000000,DV,,,YES,Approximate,52.470000,-1.920000,0:00
1,United Kingdom,Blackpool,England,GB3FC,,430.850000,DUP+,7.600000,FM,TONE,82.5Hz,YES,Approximate,53.860000,-3.050000,0:00
1,United Kingdom,Blackpool,England,GB7BF  B,GB7BF  G,430.300000,DUP+,9.000000,DV,,,YES,Approximate,53.860000,-3.050000,0:00
1,United Kingdom,Blandford,England,GB3DT,,433.000000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,50.870000,-2.120000,0:00
1,United Kingdom,Blandford,England,GB7CM,,145.700000,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,50.870000,-2.120000,0:00
1,United Kingdom,Bognor Regis,England,GB7BN  B,GB7BN  G,439.587500,DUP-,9.000000,DV,,,YES,Approximate,50.810000,-0.690000,0:00
1,United Kingdom,Bolsover,England,GB3RB,,433.200000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,53.230000,-1.290000,0:00
1,United Kingdom,Bourne,England,GB7KU  B,GB7KU  G,439.525000,DUP-,9.000000,DV,,,YES,Approximate,52.830000,-0.410000,0:00
1,United Kingdom,Bracknell,England,GB3BN,,433.000000,DUP+,1.600000,FM,TONE,118.8Hz,YES,Approximate,51.410000,-0.800000,0:00
1,United Kingdom,Braintree,England,GB3BZ,,430.850000,DUP+,7.600000,FM,TONE,110.9Hz,YES,Approximate,51.930000,0.530000,0:00
1,United Kingdom,Brecon,Wales &,GB3BB,,145.700000,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,52.000000,-3.500000,0:00
1,United Kingdom,Brighton,England,GB7BC  B,GB7BC  G,439.650000,DUP-,9.000000,DV,,,YES,Approximate,50.800000,-0.100000,0:00
1,United Kingdom,Brighton,England,GB7BH  B,GB7BH  G,439.575000,DUP-,9.000000,DV,,,YES,Approximate,50.840000,-0.090000,0:00
1,United Kingdom,Brill,England,GB3VA,,145.700000,DUP-,0.600000,FM,TONE,118.8Hz,YES,Approximate,51.820000,-1.050000,0:00
1,United Kingdom,Bristol,England,GB3AA,,145.662500,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,51.590000,-2.540000,0:00
1,United Kingdom,Bristol,England,GB3AC,,430.975000,DUP+,7.600000,FM,TONE,94.8Hz,YES,Approximate,51.500000,-2.580000,0:00
1,United Kingdom,Bristol,England,GB3BS,,430.850000,DUP+,7.600000,FM,TONE,118.8Hz,YES,Approximate,51.430000,-2.410000,0:00
1,United Kingdom,Bristol,England,GB3ZB,,430.825000,DUP+,7.600000,FM,TONE,77.0Hz,YES,Approximate,51.400000,-2.640000,0:00
1,United Kingdom,Bristol,England,GB7AD  B,GB7AD  G,439.762500,DUP-,9.000000,DV,,,YES,Approximate,51.590000,-2.540000,0:00
1,United Kingdom,Bromley,England,GB3BK,,430.900000,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,51.430000,0.010000,0:00
1,United Kingdom,Buckhurst Hill,England,GB3OY,,430.950000,DUP+,7.600000,FM,TONE,82.5Hz,YES,Approximate,51.620000,0.030000,0:00
1,United Kingdom,Burton Upon Tren,England,GB3SC,,430.862500,DUP+,7.600000,FM,TONE,67.0Hz,YES,Approximate,52.780000,-1.620000,0:00
1,United Kingdom,Buxton,England,GB3HH,,145.700000,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,53.230000,-1.910000,0:00
1,United Kingdom,Caergwrle,Wales &,GB3CR,,433.150000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,53.100000,-3.100000,0:00
1,United Kingdom,Caernarfon,Wales &,GB3AR,,145.700000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,53.120000,-4.200000,0:00
1,United Kingdom,Cambridge,England,GB3PY,,430.900000,DUP+,7.600000,FM,TONE,77.0Hz,YES,Approximate,52.220000,0.040000,0:00
1,United Kingdom,Canterbury,England,GB3SK,,433.150000,DUP+,1.600000,FM,TONE,103.5Hz,YES,Approximate,51.300000,1.060000,0:00
1,United Kingdom,Cardiff,Wales &,GB7CD  B,GB7CD  G,439.700000,DUP-,9.000000,DV,,,YES,Approximate,51.470000,-3.160000,0:00
1,United Kingdom,Carlisle,England,GB3CA,,433.325000,DUP+,1.600000,FM,TONE,77.0Hz,YES,Approximate,54.820000,-2.830000,0:00
1,United Kingdom,Carmarthen,Wales &,GB3CM,,430.862500,DUP+,7.600000,FM,TONE,94.8Hz,YES,Approximate,51.920000,-4.220000,0:00
1,United Kingdom,Carmarthen,Wales &,GB3FG,,145.712500,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,52.000000,-4.300000,0:00
1,United Kingdom,Carmarthen,Wales &,GB7FG,,430.950000,DUP+,7.600000,FM,TONE,94.8Hz,YES,Approximate,51.920000,-4.160000,0:00
1,United Kingdom,Caterham,England,GB3NS,,439.675000,DUP-,9.000000,FM,TONE,82.5Hz,YES,Approximate,51.270000,-0.110000,0:00
1,United Kingdom,Charing Kent,England,GB3CK,,433.000000,DUP+,1.600000,FM,TONE,103.5Hz,YES,Approximate,51.230000,0.790000,0:00
1,United Kingdom,Cheddar,England,GB3FI,,430.925000,DUP+,7.600000,FM,TONE,77.0Hz,YES,Approximate,51.300000,-2.810000,0:00
1,United Kingdom,Cheddar,England,GB3WR,,145.600000,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,51.310000,-2.720000,0:00
1,United Kingdom,Chelmsford,England,GB7ZP  B,GB7ZP  G,439.487500,DUP-,9.000000,DV,,,YES,Approximate,51.760000,0.490000,0:00
1,United Kingdom,Cheltenham,England,GB3RC,,430.862500,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,51.900000,-2.000000,0:00
1,United Kingdom,Cheltenham,England,GB7RC  B,GB7RC  G,430.262500,DUP+,9.000000,DV,,,YES,Approximate,51.900000,-2.000000,0:00
1,United Kingdom,Chichester,England,GB3CC,,430.962500,DUP+,7.600000,FM,TONE,88.5Hz,YES,Approximate,50.800000,-0.700000,0:00
1,United Kingdom,Chippenham,England,GB7SW  C,GB7SW  G,145.637500,DUP-,0.600000,DV,,,YES,Approximate,51.480000,-2.170000,0:00
1,United Kingdom,Chirk,Wales &,GB7RJ  B,GB7RJ  G,439.537500,DUP-,9.000000,DV,,,YES,Approximate,52.930000,-3.050000,0:00
1,United Kingdom,Clacton,England,GB3CL,,433.225000,DUP+,1.600000,FM,TONE,67.0Hz,YES,Approximate,51.810000,1.210000,0:00
1,United Kingdom,Clacton On Sea,England,GB7TE  C,GB7TE  G,145.775000,DUP-,0.600000,DV,,,YES,Approximate,51.810000,1.210000,0:00
1,United Kingdom,Cleethorpes,England,GB3GY,,433.275000,DUP+,1.600000,FM,TONE,88.5Hz,YES,Approximate,53.560000,-0.030000,0:00
1,United Kingdom,Colchester,England,GB3CE,,433.350000,DUP+,1.600000,FM,TONE,67.0Hz,YES,Approximate,51.910000,0.900000,0:00
1,United Kingdom,Cold Ashby,England,GB3EM,,145.762500,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,52.380000,-1.050000,0:00
1,United Kingdom,Coleraine,Northern,GB7CX  B,GB7CX  G,430.862500,DUP+,7.600000,DV,,,YES,Approximate,55.140000,-6.680000,0:00
1,United Kingdom,Comber,Northern,GB7KP  B,GB7KP  G,439.575000,DUP-,9.000000,DV,,,YES,Approximate,54.500000,-5.700000,0:00
1,United Kingdom,Congleton,England,GB7DZ,,433.050000,DUP+,1.600000,FM,TONE,103.5Hz,YES,Approximate,53.100000,-2.200000,0:00
1,United Kingdom,Corbridge,England,GB3HA,,145.750000,DUP-,0.600000,FM,TONE,118.8Hz,YES,Approximate,55.030000,-2.030000,0:00
1,United Kingdom,Corbridge,England,GB3TJ,,433.300000,DUP+,1.600000,FM,TONE,118.8Hz,YES,Approximate,55.030000,-2.030000,0:00
1,United Kingdom,Corby,England,GB3CI,,430.825000,DUP+,7.600000,FM,TONE,77.0Hz,YES,Approximate,52.510000,-0.680000,0:00
1,United Kingdom,Corby,England,GB3CO,,145.662500,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,52.510000,-0.680000,0:00
1,United Kingdom,Coventry,England,GB3CV,,430.812500,DUP+,7.600000,FM,TONE,67.0Hz,YES,Approximate,52.420000,-1.480000,0:00
1,United Kingdom,Cowbridge,Wales &,GB7RB  C,GB7RB  G,145.675000,DUP-,0.600000,DV,,,YES,Approximate,51.460000,-3.420000,0:00
1,United Kingdom,Crawley Sussex,England,GB3NX,,430.850000,DUP+,7.600000,FM,TONE,88.5Hz,YES,Approximate,51.080000,-0.160000,0:00
1,United Kingdom,Crawley Sussex,England,GB3WS,,145.750000,DUP-,0.600000,FM,TONE,88.5Hz,YES,Approximate,51.080000,-0.160000,0:00
1,United Kingdom,Crook,England,GB3CD,,145.687500,DUP-,0.600000,FM,TONE,118.8Hz,YES,Approximate,54.740000,-1.750000,0:00
1,United Kingdom,Cwmbran,Wales &,GB3YA,,145.712500,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,51.640000,-3.060000,0:00
1,United Kingdom,Dalry,Scotland,GB3AY,,145.650000,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,55.730000,-4.760000,0:00
1,United Kingdom,Dalry,Scotland,GB3WA,,430.875000,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,55.730000,-4.760000,0:00
1,United Kingdom,Danbury,England,GB3DA,,145.725000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,51.720000,0.570000,0:00
1,United Kingdom,Danbury,England,GB3ER,,433.075000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,51.720000,0.570000,0:00
1,United Kingdom,Daventry,England,GB3XX,,430.912500,DUP+,7.600000,FM,TONE,77.0Hz,YES,Approximate,52.270000,-1.170000,0:00
1,United Kingdom,Derby,England,GB3DC,,145.687500,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,52.940000,-1.440000,0:00
1,United Kingdom,Derby,England,GB3DZ,,430.987500,DUP+,7.600000,FM,TONE,71.9Hz,YES,Approximate,52.900000,-1.400000,0:00
1,United Kingdom,Derby,England,GB7DC,,430.875000,DUP+,7.600000,FM,TONE,71.9Hz,YES,Approximate,52.900000,-1.400000,0:00
1,United Kingdom,Derby,England,GB7DC  B,GB7DC  G,430.875000,DUP+,7.600000,DV,,,YES,Approximate,52.900000,-1.400000,0:00
1,United Kingdom,Derry/Londonderr,Northern,GB3DX,,433.300000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,55.010000,-7.360000,0:00
1,United Kingdom,Didcot,England,GB3DI,,433.150000,DUP+,1.600000,FM,TONE,118.8Hz,YES,Approximate,51.570000,-1.310000,0:00
1,United Kingdom,Disley,England,GB3MN,,145.650000,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,53.330000,-2.040000,0:00
1,United Kingdom,Douglas  Iom,England,GB3IM C,,430.825000,DUP+,7.600000,FM,TONE,110.9Hz,YES,Approximate,54.140000,-4.490000,0:00
1,United Kingdom,Douglas  Iom,England,GB3IM S,,433.125000,DUP+,1.600000,FM,TONE,110.9Hz,YES,Approximate,54.260000,-4.460000,0:00
1,United Kingdom,Dover,England,GB3KS,,145.625000,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,51.140000,1.320000,0:00
1,United Kingdom,Dudley,England,GB3BM,,145.712500,DUP-,0.600000,FM,TONE,67.0Hz,YES,Approximate,52.500000,-2.000000,0:00
1,United Kingdom,Dudley,England,GB3RR,,430.850000,DUP+,7.600000,FM,TONE,67.0Hz,YES,Approximate,52.500000,-2.000000,0:00
1,United Kingdom,Dufton,England,GB3EV,,145.700000,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,54.680000,-2.460000,0:00
1,United Kingdom,Dukinfield,England,GB3PZ,,430.900000,DUP+,7.600000,FM,TONE,82.5Hz,YES,Approximate,53.470000,-2.070000,0:00
1,United Kingdom,Dumbarton,Scotland,GB3DM,,430.925000,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,55.970000,-4.580000,0:00
1,United Kingdom,Dundee,Scotland,GB3DD,,433.250000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,56.500000,-2.970000,0:00
1,United Kingdom,Dungiven,Northern,GB7DN  B,GB7DN  G,439.412500,DUP-,9.000000,DV,,,YES,Approximate,54.930000,-6.990000,0:00
1,United Kingdom,Duns,Scotland,GB3BE,,430.862500,DUP+,7.600000,FM,TONE,118.8Hz,YES,Approximate,55.800000,-2.400000,0:00
1,United Kingdom,Duns,Scotland,GB3DU,,145.762500,DUP-,0.600000,FM,TONE,118.8Hz,YES,Approximate,55.800000,-2.400000,0:00
1,United Kingdom,Duns,Scotland,GB3DU  C,GB3DU  G,145.762500,DUP-,0.600000,DV,,,YES,Approximate,55.800000,-2.400000,0:00
1,United Kingdom,Durham,England,GB7PB  C,GB7PB  G,145.662500,DUP-,0.600000,DV,,,YES,Approximate,54.740000,-1.530000,0:00
1,United Kingdom,Eastbourne,England,GB3ZX,,430.825000,DUP+,7.600000,FM,TONE,88.5Hz,YES,Approximate,50.800000,0.200000,0:00
1,United Kingdom,Eastbourne,England,GB7ES  B,GB7ES  G,439.437500,DUP-,9.000000,DV,,,YES,Approximate,50.820000,0.290000,0:00
1,United Kingdom,East Dereham,England,GB3AH,,433.275000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,52.660000,0.840000,0:00
1,United Kingdom,East Grinstead,England,GB3MH,,145.625000,DUP-,0.600000,FM,TONE,88.5Hz,YES,Approximate,51.100000,-0.090000,0:00
1,United Kingdom,East Grinstead,England,GB7MH  B,GB7MH  G,439.637500,DUP-,9.000000,DV,,,YES,Approximate,51.100000,-0.090000,0:00
