"CALL","BAND","CHAN","txMHz","rxMHz","SHIFT","QTHR","NGR","WHERE","REG","CTCSS","DMRcc","DMRcon","LAT","LON","STATUS","ANALG","DMR","DSTAR","FUSION","NXDN",
2E0LNX,70CM,DVU35,439.437500,430.437500,-9.0,IO90KT,,GOSPORT,SW,,3,BRANDMEISTER,50.79,-1.13,OPERATIONAL,0,1,0,1,0,
2E0XTA,70CM,RU69,430.862500,438.462500,7.6,JO01FR,TL7006,CHELMSFORD,SE,,0,,51.74,0.47,NOT OPERATIONAL,1,1,0,0,0,
2M0FPI,70CM,DVU12,439.150000,430.150000,-9.0,IO87WC,NJ9303,ABERDEEN,SCOT,,,,57.12,-2.1,NOT OPERATIONAL,0,0,1,1,0,
GB3CP,2M,RV59,145.737500,145.137500,-0.6,IO64IG,IH5181,FERMANAGH,NI,110.9,,,54.27,-7.27,NOT OPERATIONAL,1,0,0,0,0,
GB3FK,2M,RV60,145.750000,145.150000,-0.6,JO01,TR2238,FOLKESTONE,SE,103.5,,,,,OPERATIONAL,1,0,0,1,0,
GB3GS,70CM,RU79,430.987500,438.587500,7.6,IO82,SS7241,PINKERY CTR  SIMONSBATH ,XXX,141.3,,,,,NOT OPERATIONAL,1,0,0,0,0,
GB3HK,70CM,RB02,433.050000,434.650000,1.6,IO85,NT5029,SELKIRK,SCOT,118.8,,,,,REDUCED OUTPUT,1,0,0,0,0,
GB3XL,70CM,RU71,430.887500,438.487500,7.6,IO93CT,SE1536,SHIPLEY,NOR,82.5,1,BRANDMEISTER,53.83,-1.76,DMR ONLY,1,1,0,0,0,
GB7DC,70CM,DMU28,439.350000,430.350000,,IO92,SK3837,DERBY,CEN,71.9,1,,,,OPERATIONAL,1,1,1,1,1,
M0IDL,,RU67,430.837500,438.437500,7.6,IO90AR,SZ0192,POOLE,SW,71.9,,,50.73,-1.98,OPERATIONAL,1,0,0,0,0,
