"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","REG","Netw","Col","QTHR","NGR","WHERE","DMR","DSTAR","FUSION","NXDN",
2E0LNX,70CM,DVU35,439.437500,430.437500,,SW,BRANDMEISTER,3,IO90KT,,GOSPORT,Y,,Y,,
2E0XTA,70CM,RU69,430.862500,438.462500,,SE,,,JO01FR,TL7006,CHELMSFORD,Y,,,,
G8YDE,70CM,DVU46,439.575000,430.575000,,SE,BRANDMEISTER,5,IO91,SP9600,CHESHAM,Y,,,,
GB3AG,2M,RV58,145.725000,145.125000,94.8,SCOT,,,IO86ON,NO4841,ANGUS,,,Y,,
GB3AL,2M,RV59,145.737500,145.137500,77.0,SE,,,IO91QP,SU9595,AMERSHAM,,,Y,,
GB3AN,70CM,RB08,433.200000,434.800000,110.9,WM,,,IO73UJ,SH4790,AMLWCH,,,Y,,
GB3BG,2M,RV60,145.750000,145.150000,118.8,SW,,1,IO80,SS6609,CHULMLEIGH,Y,,,,
GB3BH,70CM,RU79,430.987500,438.587500,77.0,SE,BRANDMEISTER,3,JO00FU,TQ7408,BEXHILL-ON-SEA,Y,,,,
GB3BT,2M,RV56,145.700000,145.100000,118.8,SCOT,BRANDMEISTER,1,IO85WT,NT9458,BERWICK ON TWEED,,,Y,,
GB3BV,70CM,RB01,433.025000,434.625000,82.5,SE,,,IO91SR,TL0804,HEMEL HEMPSTEAD,,,Y,,
GB3BX,2M,RV54,145.675000,145.075000,,WM,SALOP DMR,13,IO82,SO5986,CLEOBURY NORTH,Y,,,,
GB3BZ,70CM,RU68,430.850000,438.450000,110.9,SE,DV Scotland Phoenix,3,JO01GW,TL7428,BRAINTREE,Y,,,,
GB3CD,2M,RV55,145.687500,145.087500,118.8,NOR,,,IO94DR,NZ1637,CROOK,,,Y,,
GB3CF,2M,RV48,145.600000,145.000000,77.0,CEN,,1,IO92IQ,SK4810,MARKFIELD,,Y,Y,Y,
GB3CM,70CM,RU69,430.862500,438.462500,94.8,WM,,,IO71VW,SN4727,CARMARTHEN,,,Y,,
GB3CU,70CM,UR63,438.387500,430.787500,77.0,NOR,,,IO84GQ,NY0533,MARYPORT,,,Y,,
GB3DA,2M,RV58,145.725000,145.125000,110.9,SE,,,JO01GR,TL7705,DANBURY,,,Y,,
GB3DB,6M,R50-06,50.770000,51.270000,110.9,SE,,,JO01HR,TL7906,DANBURY,,,Y,,
GB3DD,70CM,RB10,433.250000,434.850000,94.8,SCOT,,,IO86MM,NO4035,DUNDEE,,,Y,,
GB3DG,2M,RV62,145.775000,145.175000,103.5,SCOT,,,IO74UV,NX5257,NEWTON STEWART,,,Y,,
GB3DM,70CM,RU74,430.925000,438.525000,103.5,SCOT,,,IO75QX,NS3878,DUMBARTON,Y,Y,Y,,
GB3DP,70CM,DVU34,439.425000,430.425000,88.5,CEN,,,IO92TR,TF1114,BASTON,,,Y,,
GB3DT,70CM,RB0,433.000000,434.600000,71.9,SW,,,IO80WU,ST9107,BLANDFORD,,,Y,,
GB3DU,2M,RV61,145.762500,145.162500,118.8,SCOT,,1,IO85,NT7354,DUNS,Y,Y,Y,,
GB3ED,70CM,RU71,430.887500,438.487500,94.8,SCOT,,1,IO85JW,NT2471,EDINBURGH,,Y,,,
