"repeater","band","channel","TX","RX","modes","QTHR","NGR","where","region","ctcss/cc","keeper","status",
2E0LNX,70CM,DVU35,439.437500,430.437500,MF,IO90KT,,GOSPORT,SW,3,2E0LNX,OPERATIONAL,
2E0XTA,70CM,RU69,430.862500,438.462500,AM,JO01FR,TL7006,CHELMSFORD,SE,,2E0XTA,NOT OPERATIONAL,
2M0FPI,70CM,DVU12,439.150000,430.150000,DF,IO87WC,NJ9303,ABERDEEN,SCOT,,2M0FPI,NOT OPERATIONAL,
GB3CP,2M,RV59,145.737500,145.137500,A,IO64IG,IH5181,FERMANAGH,NI,110.9,GI6JPO,NOT OPERATIONAL,
GB3FK,2M,RV60,145.750000,145.150000,AF,JO01,TR2238,FOLKESTONE,SE,103.5,M1CMN,OPERATIONAL,
GB3GS,70CM,RU79,430.987500,438.587500,A,IO82,SS7241,PINKERY CTR  SIMONSBATH ,XXX,141.3,G4XUR,NOT OPERATIONAL,
GB3HK,70CM,RB02,433.050000,434.650000,A,IO85,NT5029,SELKIRK,SCOT,118.8,GM7LUN,REDUCED OUTPUT,
GB3XL,70CM,RU71,430.887500,438.487500,AM,IO93CT,SE1536,SHIPLEY,NOR,82.5,M0IRK,DMR ONLY,
GB7DC,70CM,DMU28,439.350000,430.350000,ADMFPN,IO92,SK3837,DERBY,CEN,71.9,G7NPW,OPERATIONAL,
M0IDL,,RU67,430.837500,438.437500,A,IO90AR,SZ0192,POOLE,SW,71.9,M0IDL,OPERATIONAL,
