Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
,,,,,,,,,,,,,,{{10M;FM;*}}
29.1200,29.1200,VK2RMB,THills,Terrey Hills,Sydney 6/15,-33.692994,151.222079,P,-,150,-,2MB,-,1
29.1200,29.1200,VK4RLB,-,Logan,Brisbane,-27.627411,153.100191,O,25,60,4,4ARN,88.5,3
,,,,,,,,,,,,,,{{6M;FM;VK2}}
53.7250,52.7250,VK2RAG,Someb,Somersby,Gosford-Wyong,-33.360078,151.291215,O,50,320,3,2EH,91.5,
,,,,,,,,,,,,,,{{2M;FM;VK2}}
146.7250,146.1250,VK2RAG,Someb,Somersby,Gosford,-33.360078,151.291215,O,50,320,3,2EH,91.5,
146.9000,146.3000,VK1RAC,Tidbin,Tidbinbilla,SW ACT 6/15,-35.378932,148.952144,X,10,441,5,1ACA,-,
147.1250,147.7250,VK2RAG,Someb1,Somersby,Gosford WICEN,-33.360078,151.291215,O,50,320,3,2EH,91.5,
147.1750,147.7750,VK1RBH,BullsH,Bulls Head,ACT WICEN,-35.385788,148.813048,O,50,1385,-,1ACA,-,
146.9750,146.3750,VK3RRC,RdlsCk,Riddells Creek,Riddells Creek 8/17,-37.447981,144.66484,P,40,-,-,VSA,91.5,
29.6200,147.6750,VK5RSC,-,Mt Terrible,Adelaide,-35.331101,138.501776,O,40,410,3,5ARC,141.3,7
,,,,,,,,,,,,,,{{70CM;FM;VK2}}
438.0750,431.0750,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,-33.360078,151.291215,O,50,320,3,2EH,91.5,31
438.8000,431.8000,VK2RAG,Someb1,Somersby,Gosford - Wyong WICEN,-33.360078,151.291215,O,50,320,3,2EH,91.5,31
438.8750,431.8750,VK2RAG,Someb2,Somersby,Gosford - Wyong,-33.360078,151.291215,O,25,320,3,2EH,91.5,
439.8500,434.8500,VK2RNG,Werri,Werrington,Western Sydney 1/19,?,?,U,-,-,-,2THE,-,
439.9500,434.9500,VK2RAG,Someb3,Somersby,Central Coast,-33.360078,151.291215,O,-,313,3,2EH,91.5,
,,,,,,,,,,,,,,{{23CM;FM;VK2}}
1273.4000,1293.4000,VK2RAG,Someb,Somersby,Gosford - Wyong 7/18,-33.360078,151.291215,T,-,320,-,2EH,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK2}}
146.6375,146.0375,VK2RAG C,Someb,Somersby,Gosford (G),-33.360078,151.291215,O,25,320,4,2EH,-,
438.3250,432.9250,VK2RAG B,Someb1,Somersby,Gosford (G),-33.360078,151.291215,O,25,320,4,2EH,-,96
1273.4000,1293.4000,VK2RAG A,Someb2,Somersby,Gosford 6/15,-33.360078,151.291215,P,10,320,4,2EH,-,
438.1500,432.7500,VK3RWW B,-,portable,Nation wide (G),-,-,O,25,-,3,WIA,-,96
,,,,,,,,,,,,,,{{*;P25;VK2}}
439.9500,434.9500,VK2RAG,Someb,Somersby,Central Coast,-33.360078,151.291215,O,-,300,3,2EH,91.5,
