"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","ANALOG","DMR","DSTAR","FUSION",
GB3AA,2M,RV53,145.662500,145.062500,94.8,IO81RO,BRISTOL,Y,,,,
GB3AB,70CM,RB15,433.375000,434.975000,82.5,IO93FK,SHEFFIELD,Y,,,,
GB3AC,70CM,RU78,430.975000,438.575000,94.8,IO81TS,BRISTOL,Y,,,,
GB3AG,2M,RV58,145.725000,145.125000,94.8,IO86ON,FORFAR,Y,,,Y,
GB3AH,70CM,RB11,433.275000,434.875000,94.8,JO02KP,EAST DEREHAM,Y,,,,
GB3AI,2M,RV59,145.737500,145.137500,103.5,IO85PK,HAWICK,Y,Y,Y,Y,
GB3AK,23CM,RM14X,1297.350000,1277.350000,94.8,IO81RO,BRISTOL,Y,,,,
GB3AL,2M,RV59,145.737500,145.137500,77.0,IO91QP,AMERSHAM,Y,,,Y,
GB3AM,6M,R50-13,50.840000,51.340000,77,IO91QP,AMERSHAM,Y,,,,
GB3AN,70CM,RB08,433.200000,434.800000,110.9,IO73UJ,AMLWCH,Y,,,Y,
GB3AR,2M,RV56,145.700000,145.100000,110.9,IO73VC,CAERNARFON,Y,,,Y,
GB3AS,2M,RV48,145.600000,145.000000,77,IO85MC,LANGHOLM,Y,,,,
GB3AU,70CM,RB07,433.175000,434.775000,82.5,IO91QP,AMERSHAM,Y,,,,
GB3AV,70CM,RB02,433.050000,434.650000,118.8,IO91OT,AYLESBURY,Y,,,,
GB3AW,70CM,RB10,433.250000,434.850000,71.9,IO91GH,NEWBURY,Y,,,,
GB3AY,2M,RV52,145.650000,145.050000,103.5,IO75OR,DALRY,Y,,,,
GB3BA,70CM,RB13,433.325000,434.925000,71.9,IO91KF,BASINGSTOKE,Y,,,,
GB3BB,2M,RV56,145.700000,145.100000,94.8,IO81GX,BRECON,Y,,,,
GB3BC,2M,RV60,145.750000,145.150000,94.8,IO81IO,PONTYPRIDD,Y,,,,
GB3BE,70CM,RU69,430.862500,438.462500,118.8,IO85SS,DUNS,Y,,,Y,
GB3BF,2M,RV63,145.787500,145.187500,77.0,IO92SC,BEDFORD,Y,,,,
GB3BI,2M,RV58,145.725000,145.125000,67,IO77RM,MUIR OF ORD,Y,,,,
GB3BK,70CM,RU72,430.900000,438.500000,103.5,JO01AK,BROMLEY,Y,,,,
GB3BL,70CM,RU70,430.875000,438.475000,77.0,IO92SD,BEDFORD,Y,,,,
GB3BM,2M,RV57,145.712500,145.112500,67.0,IO82XL,DUDLEY,Y,,,,
GB3BN,70CM,RB0,433.000000,434.600000,118.8,IO91OJ,BRACKNELL,Y,,,,
GB3BR,70CM,RU65,430.812500,438.412500,88.5,IO90VU,HOVE,Y,,,,
GB3BS,70CM,RU68,430.850000,438.450000,118.8,IO81TK,BRISTOL,Y,,,,
GB3BT,2M,RV56,145.700000,145.100000,118.8,IO85WT,BERWICK ON TWEED,Y,,,,
GB3BV,70CM,RB01,433.025000,434.625000,82.5,IO91SR,HEMEL HEMPSTEAD,Y,,,Y,
GB3BW,70CM,RU65,430.812500,438.412500,82.5,IO93HO,WAKEFIELD,Y,,,,
GB3BX,2M,RV54,145.675000,145.075000,,IO82QL,CLEOBURY NORTH,,Y,,,
GB3BY,70CM,RU78,430.975000,438.575000,82.5,IO83LT,BLACKPOOL,Y,,,,
GB3BZ,70CM,RU68,430.850000,438.450000,110.9,JO01GW,BRAINTREE,Y,Y,,,
GB3CA,70CM,RB13,433.325000,434.925000,77,IO84OT,CARLISLE,Y,,,,
GB3CB,70CM,RB14,433.350000,434.950000,67,IO92BL,BIRMINGHAM,Y,,,,
GB3CC,70CM,RU77,430.962500,438.562500,88.5,IO90PT,CHICHESTER,Y,,,,
GB3CD,2M,RV55,145.687500,145.087500,118.8,IO94DR,CROOK,Y,,,Y,
GB3CE,70CM,RB14,433.350000,434.950000,67,JO01KV,COLCHESTER,Y,,,,
GB3CF,2M,RV48,145.600000,145.000000,77.0,IO92IQ,MARKFIELD,Y,,Y,Y,
GB3CG,2M,RV58,145.725000,145.125000,118.8,IO81VU,GLOUCESTER,Y,,,,
GB3CH,70CM,RU70,430.875000,438.475000,77,IO70SM,LISKEARD,Y,,,,
GB3CI,70CM,RU66,430.825000,438.425000,77.0,IO92PM,CORBY,Y,,,,
GB3CJ,10M,,29.640000,29.540000,77.0,IO92NF,NORTHAMPTON,Y,,,,
GB3CK,70CM,RB0,433.000000,434.600000,103.5,JO01JF,CHARING KENT,Y,,,,
GB3CL,70CM,RB09,433.225000,434.825000,67,JO01OT,CLACTON,Y,,,,
