"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","DMR","DSTAR","FUSION","NXDN",
GB3AG,2M,RV58,145.725000,145.125000,94.8,IO86ON,FORFAR,,,Y,,
GB3AI,2M,RV59,145.737500,145.137500,103.5,IO85PK,HAWICK,Y,Y,Y,,
GB3AL,2M,RV59,145.737500,145.137500,77.0,IO91QP,AMERSHAM,,,Y,,
GB3AN,70CM,RB08,433.200000,434.800000,110.9,IO73UJ,AMLWCH,,,Y,,
GB3BV,70CM,RB01,433.025000,434.625000,82.5,IO91SR,HEMEL HEMPSTEAD,,,Y,,
GB3BX,2M,RV54,145.675000,145.075000,,IO82QL,CLEOBURY NORTH,Y,,,,
GB3BZ,70CM,RU68,430.850000,438.450000,110.9,JO01GW,BRAINTREE,Y,,,,
GB3CD,2M,RV55,145.687500,145.087500,118.8,IO94DR,CROOK,,,Y,,
GB3CF,2M,RV48,145.600000,145.000000,77.0,IO92IQ,MARKFIELD,,Y,Y,Y,
GB3CM,70CM,RU69,430.862500,438.462500,94.8,IO71VW,CARMARTHEN,,,Y,,
GB3DA,2M,RV58,145.725000,145.125000,110.9,JO01GR,DANBURY,,,Y,,
GB3DB,6M,R50-06,50.770000,51.270000,110.9,JO01HR,DANBURY,,,Y,,
GB3DD,70CM,RB10,433.250000,434.850000,94.8,IO86MM,DUNDEE,,,Y,,
GB3DG,2M,RV62,145.775000,145.175000,103.5,IO74UV,NEWTON STEWART,,,Y,,
GB3DM,70CM,RU74,430.925000,438.525000,103.5,IO75QX,DUMBARTON,,,Y,,
GB3DT,70CM,RB0,433.000000,434.600000,71.9,IO80WU,BLANDFORD,,,Y,,
GB3DU,2M,RV61,145.762500,145.162500,118.8,IO85SS,DUNS,Y,Y,Y,,
GB3DW,2M,RV53,145.662500,145.062500,110.9,IO72WT,HARLECH,,,Y,,
GB3ED,70CM,RB14,433.350000,434.950000,94.8,IO85JW,EDINBURGH,,Y,,,
GB3EI,2M,RV49,145.612500,145.012500,88.5,IO67IN,LOCHMADDY,Y,Y,Y,,
GB3ER,70CM,RB03,433.075000,434.675000,110.9,JO01GR,DANBURY,,,Y,,
GB3FG,2M,RV57,145.712500,145.112500,94.8,IO71UX,CARMARTHEN,,,Y,,
GB3FK,2M,RV60,145.750000,145.150000,103.5,JO01OC,FOLKESTONE,,,Y,,
GB3GJ,2M,RV51,145.637500,145.037500,71.9,IN89WE,ST HELIER,Y,,,,
GB3GL,70CM,RU72,430.900000,438.500000,103.5,IO75WU,GLASGOW,,,Y,,
