"repeater","band","channel","TX","RX","mode","QTHR","where","region","code","keeper","status",
GB3AA,2M,RV53,145.662500,145.062500,AV,IO81RO,BRISTOL,SW,94.8,G4CJZ,OPERATIONAL,
GB3AB,70CM,RB15,433.375000,434.975000,AV,IO93FK,SHEFFIELD,NOR,82.5,M0GAV,OPERATIONAL,
GB3AC,70CM,RU78,430.975000,438.575000,AV,IO81TS,BRISTOL,SW,94.8,G4CJZ,OPERATIONAL,
GB3AG,2M,RV58,145.725000,145.125000,MULTI,IO86ON,FORFAR,SCOT,94.8,MM0XET,OPERATIONAL,
GB3AH,70CM,RB11,433.275000,434.875000,AV,JO02KP,EAST DEREHAM,SE,94.8,G0LGJ,OPERATIONAL,
GB3AI,2M,RV59,145.737500,145.137500,MULTI,IO85PK,HAWICK,SCOT,3,GM8SJP,NOT OPERATIONAL,
GB3AK,23CM,RM14X,1297.350000,1277.350000,AV,IO81RO,BRISTOL,SW,94.8,G4CJZ,OPERATIONAL,
GB3AL,2M,RV59,145.737500,145.137500,MULTI,IO91QP,AMERSHAM,SW,77.0,M0ZPU,OPERATIONAL,
GB3AM,6M,R50-13,50.840000,51.340000,AV,IO91QP,AMERSHAM,SW,77,M0ZPU,OPERATIONAL,
GB3AN,70CM,RB08,433.200000,434.800000,MULTI,IO73UJ,AMLWCH,WM,110.9,MW0GCT,OPERATIONAL,
GB3AR,2M,RV56,145.700000,145.100000,MULTI,IO73VC,CAERNARFON,WM,110.9,GW4KAZ,OPERATIONAL,
GB3AS,2M,RV48,145.600000,145.000000,AV,IO85MC,LANGHOLM,SCOT,77,GM6LJE,OPERATIONAL,
GB3AU,70CM,RB07,433.175000,434.775000,AV,IO91QP,AMERSHAM,SW,82.5,M0ZPU,OPERATIONAL,
GB3AV,70CM,RB02,433.050000,434.650000,AV,IO91OT,AYLESBURY,SW,118.8,G8GQJ,OPERATIONAL,
GB3AW,70CM,RB10,433.250000,434.850000,AV,IO91GH,NEWBURY,SW,71.9,G8DOR,OPERATIONAL,
GB3AY,2M,RV52,145.650000,145.050000,AV,IO75OR,DALRY,SCOT,103.5,MM0YET,OPERATIONAL,
GB3BA,70CM,RB13,433.325000,434.925000,AV,IO91KF,BASINGSTOKE,SW,71.9,G8GTZ,OPERATIONAL,
GB3BB,2M,RV56,145.700000,145.100000,AV,IO81GX,BRECON,WM,94.8,MW0XDD,OPERATIONAL,
GB3BC,2M,RV60,145.750000,145.150000,AV,IO81IO,PONTYPRIDD,WM,94.8,GW0UXJ,OPERATIONAL,
